32.223.6.94:80  # status 404 http://httpbin.org/ip
50.122.86.118:80  # status 404 http://httpbin.org/ip
192.73.244.36:80  # ConnectionError ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
190.58.248.86:80  # status 404 http://httpbin.org/ip
45.14.224.247:80  # status 400 http://httpbin.org/ip
154.118.231.30:80  # status 404 http://httpbin.org/ip
139.162.78.109:8080  # status 503 http://httpbin.org/ip
123.30.154.171:7777  # status 503 http://httpbin.org/ip
62.99.138.162:80  # status 404 http://httpbin.org/ip
89.58.55.33:80  # status 503 http://httpbin.org/ip
213.143.113.82:80  # status 404 http://httpbin.org/ip
128.199.202.122:8080  # ProxyError HTTPConnectionPool(host='128.199.202.122', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))
195.114.209.50:80  # status 404 http://httpbin.org/ip
197.255.125.12:80  # ProxyError HTTPConnectionPool(host='197.255.125.12', port=80): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB134FFCB0>, 'Connection to 197.255.125.12 timed out. (connect timeout=8)')))
143.198.147.156:8888  # ProxyError HTTPConnectionPool(host='143.198.147.156', port=8888): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135D0E10>, 'Connection to 143.198.147.156 timed out. (connect timeout=8)')))
119.235.112.42:3128  # ProxyError HTTPConnectionPool(host='119.235.112.42', port=3128): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E2150>, 'Connection to 119.235.112.42 timed out. (connect timeout=8)')))
219.93.101.63:80  # ProxyError HTTPConnectionPool(host='219.93.101.63', port=80): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB1357F890>, 'Connection to 219.93.101.63 timed out. (connect timeout=8)')))
0.0.0.0:80  # ProxyError HTTPConnectionPool(host='0.0.0.0', port=80): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001CB135E1E50>: Failed to establish a new connection: [WinError 10049] The requested address is not valid in its context')))
123.141.181.73:5031  # ProxyError HTTPConnectionPool(host='123.141.181.73', port=5031): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E2750>, 'Connection to 123.141.181.73 timed out. (connect timeout=8)')))
200.174.198.158:8888  # ProxyError HTTPConnectionPool(host='200.174.198.158', port=8888): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E2850>, 'Connection to 200.174.198.158 timed out. (connect timeout=8)')))
81.169.213.169:8888  # ProxyError HTTPConnectionPool(host='81.169.213.169', port=8888): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB1354BB50>, 'Connection to 81.169.213.169 timed out. (connect timeout=8)')))
217.77.102.18:3128  # ProxyError HTTPConnectionPool(host='217.77.102.18', port=3128): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB1354BC50>, 'Connection to 217.77.102.18 timed out. (connect timeout=8)')))
124.108.6.20:8085  # ProxyError HTTPConnectionPool(host='124.108.6.20', port=8085): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB1354BD50>, 'Connection to 124.108.6.20 timed out. (connect timeout=8)')))
198.199.86.11:8080  # status 503 http://httpbin.org/ip
103.205.64.37:80  # ProxyError HTTPConnectionPool(host='103.205.64.37', port=80): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E2350>, 'Connection to 103.205.64.37 timed out. (connect timeout=8)')))
68.185.57.66:80  # status 404 http://httpbin.org/ip
80.74.54.148:3128  # ProxyError HTTPConnectionPool(host='80.74.54.148', port=3128): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB1354BA50>, 'Connection to 80.74.54.148 timed out. (connect timeout=8)')))
65.108.251.40:38328  # ProxyError HTTPConnectionPool(host='65.108.251.40', port=38328): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E1650>, 'Connection to 65.108.251.40 timed out. (connect timeout=8)')))
84.39.112.144:3128  # ProxyError HTTPConnectionPool(host='84.39.112.144', port=3128): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001CB135E1A50>, 'Connection to 84.39.112.144 timed out. (connect timeout=8)')))
127.0.0.7:80  # ProxyError HTTPConnectionPool(host='127.0.0.7', port=80): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001CB135E3950>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')))
91.103.120.49:443  # ReadTimeout HTTPConnectionPool(host='91.103.120.49', port=443): Read timed out. (read timeout=8)
31.145.50.5:8080  # ProxyError HTTPConnectionPool(host='31.145.50.5', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
31.145.50.1:8080  # ProxyError HTTPConnectionPool(host='31.145.50.1', port=8080): Max retries exceeded with url: http://httpbin.org/ip (Caused by ProxyError('Unable to connect to proxy', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)))
